name,city,Company Full Url,Url listing
Batimo'V Sàrl,1802 Corseaux,https://www.batimov.ch/,https://www.batimov.ch/site/list?d=sale
Beau-Soleil Conseils,1009 Pully,https://beausoleilconseils.ch,https://beausoleilconseils.ch/immobilien/?availabilities%5B%5D=active&availabilities%5B%5D=taken&availabilities%5B%5D=reserved&salestypes%5B%5D=buy
Bellerive Properties - Lausanne,1007 Lausanne,https://bellerive-properties.ch/en,https://bellerive-properties.ch/en/exceptional-properties
Bellini Immobilier/Real Estate,,,
Bernard Nicod Lausanne - Benjamin Constant,,,
Bernard Nicod Lausanne - Benjamin Constant - Gérance,,https://www.bernard-nicod.ch/,https://www.bernard-nicod.ch/acheter?action=acheter&transaction=buy
Bertrand Consulting,1036 Sullens,https://bertrandconsulting.com/,
BestPartner Immo Sàrl,,https://bestpartnerimmo.ch/,https://bestpartnerimmo.ch/nos-biens/
Blue Homes SNC,1807 Blonay,,
Bossi Immobilier,1260 Nyon,https://bossi-immo.ch/,
Brian Groocock,,,
Brumont SA,1844 Villeneuve VD,https://brumont.ch,
Brymmo,1003 Lausanne,https://brymmo.ch,https://www.brymmo.ch/vente/
Bugnon Immobilier Sàrl,1530 Payerne,https://immobilier-broye.ch,https://www.immobilier-broye.ch/a-vendre
Bureau Immobilier Romand SA,1260 Nyon,https://www.bir.immo/,https://www.bir.immo/
Byas-Perry Properties,1052 Le Mont-sur-Lausanne,https://byas-perry.net,https://www.byas-perry.net/acheter
Bösiger Immobilier,1260 Nyon,https://www.bosigerimmobilier.ch/,
C&J Sàrl,,,
C14immo SA,1400 Yverdon-les-Bains,,
CALB Courtage A-L Bourquin,1803 Chardonne,https://calb-immo.ch,https://calb-immo.ch/villas-a-vendre.html
CARACTERE,,https://caractere-immobilier.ch,https://www.caractere-immobilier.ch/acheter/&new_research=1
CARDIS Immobilier,1003 Lausanne,https://cardis.ch/,https://cardis.ch/biens-immobiliers/
CARDIS Immobilier | Nyon,1260 Nyon,,
CASACOSI - Courtage,1004 Lausanne,,
CASAN immobilier Sàrl,1880 Bex,https://www.casan-immobilier.ch/fr,https://www.casan-immobilier.ch/a-vendre
CAZA Immobilier,1820 Montreux,,
CB Transimmo Sàrl,1260 Nyon,http://www.cbtransimmo.ch/,
CC Immobilier SA,1009 Pully,https://comptoir-immo.ch/,https://comptoir-immo.ch/location/all/all/all/?rooms-min=1&rooms-max=10&price-min=0&price-max=10000&surface-min=0&surface-max=2500&meubles=0&ref&lat&lng
CDF immobilier SA,1023 Crissier,https://cdf-immobilier.ch,
CE & DI Sàrl,1170 Aubonne,https://ce-di.ch/,
CF Immobilier Compagnie Foncière SA - Château-d'Oex,1660 Château-d'Oex,https://cfimmobilier.ch/,https://cfimmobilier.ch/en/vendre
CF Immobilier Compagnie Foncière SA - Rougemont,1659 Rougemont,,
CFP Immo + Conseils,1260 Nyon,http://www.cfp-immo.ch,https://www.cfp-immo.ch/maison-appartement-a-vendre/
CGGI Sarl - Christian Gander Gestion Immobilière,1196 Gland,https://cggi.ch/fr/,https://cggi.ch/fr/acheter
CGS GLOBAL IMMOBILIER SA,,https://cgs-immobilier.ch/,https://cgs-immobilier.ch/acheter/
CL immobilier,,https://cl-immo.ch/,https://cl-immo.ch/acheter/
CMD Immobilier SA,1032 Romanel-sur-Lausanne,,
