name,city,Company Full Url,URL Direct
La Pierre Immobilier,1680 Romont FR,https://www.lapierre-immobilier.ch/,https://www.lapierre-immobilier.ch/acheter
Grand Rue 35,1680 Romont FR,,
LB Gérance SA,1723 Marly,https://lb-immobilier.ch/,https://lb-immobilier.ch/acheter-un-bien/
LB Immobilier,1616 Attalens,https://lb-immobilier.ch/,
Line Barras,1628 Vuadens,,
Champ de Lune 11,1470 Estavayer-le-Lac,,
LUBA Courtage & Estimations immobilières,3280 Meyriez,https://luba.ch/,https://luba.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
MA Gérance Sàrl,1678 Siviriez,https://www.mamaisonimmo.ch/,https://www.mamaisonimmo.ch/page2.html#wa-anchor-top
MAV immobilier sarl,1680 Romont FR,https://mavimmo.ch/,https://mavimmo.ch/a-vendre/
MBA Immoplus Sàrl,1762 Givisiez,,
MCBimmo,1635 La Tour-de-Trême,https://mcbimmo.ch,https://mcbimmo.ch/ventes
MDC Immobilier Sàrl,1617 Remaufens,https://mdcimmobilier.ch,https://www.mdcimmobilier.ch/fr/acheter
MK.IMMO Sàrl,1630 Bulle,https://mkimmo-sarl.ch,https://www.mkimmo-sarl.ch/promotions-1-1
Monney Immobilier SA,1619 Les Paccots,https://monney-immobilier.ch/,
MPI Marc Progin,1630 Bulle,https://marc-progin-immo.ch,https://www.marcprogin.ch/a-vendre
Muller Immobilier,1608 Chapelle (Glâne),https://www.muller-immobilier.com/,
Naboo Immobilier SA,1680 Romont FR,,
NewImmoJess SA,3280 Morat,,
Norbert Chardonnens SA,1564 Domdidier,https://www.chardonnens.ch,
NS IMMOBILIEN,1712 Tafers,https://www.novascotia-immobilien.de/en/,
O2 immo Sàrl,1680 Romont FR,https://o2immo.ch/,https://o2immo.ch/a-vendre/
La Maillarde 9,1680 Romont FR,https://o2immo.ch/,
Olimmo,1744 Chénens,,
OML Immo,1630 Bulle,https://omlimmo.ch/,https://omlimmo.ch/acheter/
Pam Immobilier,1528 Surpierre,https://pamimmobilier.ch/,https://pamimmobilier.ch/a-vendre
parcelle 12,1625 Sâles (Gruyère),https://parcelle12.ch/,https://parcelle12.ch/sale-listings/
POLYGONE Constructions Sàrl,1566 St-Aubin FR,https://polygone-constructions.ch,https://www.polygone-constructions.ch/realisations
Prestige Investment Sàrl,1763 Granges-Paccot,https://prestigeinvestment.ch/,https://www.prestigeinvestment.ch/proprietes?type=vente
PRIVERA AG - Fribourg,1700 Fribourg,https://www.privera.ch/,
PRN Construction Sàrl,1630 Bulle,,
Progin & Grangier Immobilier Sàrl,1630 Bulle,https://www.progin-grangier.ch/,https://www.progin-grangier.ch/nos-biens-en-vente
Proxiland Sàrl,1752 Villars-sur-Glâne,,
R&B Immo Sàrl,1635 La Tour-de-Trême,https://r-b-immo.ch/,https://r-b-immo.ch/sale-listings/
Raboud Group SA,1630 Bulle,http://www.raboudgroup.com,
RD Immobilier,1673 Promasens,https://rdimmobilier.ch/,https://rdimmobilier.ch/sale-listings/
Regard immobilier Sàrl,1665 Estavannens,https://www.regard-immo.com/,
Régie de Fribourg SA,1700 Fribourg,https://rfsa.ch,https://www.rfsa.ch/a-vendre
Champ de la Vigne 7,1470 Estavayer-le-Lac,,
Régie Roland Donner,1568 Portalban,https://www.donner-immobilier.ch/,
Rubik-immobilier Sàrl - Romont,1680 Romont FR,https://rubik-immo.ch/,https://rubik-immo.ch/a-vendre/#/home
RXJ Immo Sàrl,1566 St-Aubin FR,,
Grand-Places 16,1700 Fribourg,,
Grand Places 16,1700 Fribourg,https://thegrandlb.com/,
Service Management Immobilier (SMI SA),1630 Bulle,https://smisa.ch,https://www.smisa.ch/a-vendre
Services Comptables & Fiscaux MS,1680 Romont FR,https://www.ms-comptables.com/,
SF Immobilier Sàrl,1630 Bulle,https://sfimmobilier.com/,https://sfimmobilier.com/sale-listings/
Signature Immo,1726 Farvagny-le-Petit,https://www.signatureimmoltd.com/,
Sodalitas SCI,1700 Fribourg,https://www.sodalitas.ch/fr,
Sundance Property,1752 Villars-sur-Glâne,https://sundanceproperty.ch,https://www.sundanceproperty.ch/
Switzerland House.ch,1700 Fribourg,https://www.homegate.ch/en,
Swixim Châtel-St-Denis - Pires Immobilier,1618 Châtel-St-Denis,,
Toffel Immobilier,1752 Villars-sur-Glâne,https://toffel-immobilier.ch,https://www.toffel-immobilier.ch/acheter/
Uniquimmo SA,1632 Riaz,https://www.uniquimmo.com/,https://www.uniquimmo.com/properties
UNSG Sàrl,1680 Romont FR,,
VB IMMOBILIER,1618 Châtel-St-Denis,https://vb-immobilier.ch,https://vb-immobilier.ch/acheter/
Vicore SA,1678 Siviriez,https://vicorepharma.com/,
Weber Immobilier,1700 Fribourg,https://www.weberimmobilier.com/,
Weck Aeby & Cie SA,1700 Fribourg,https://weck-aeby.ch,https://www.weck-aeby.ch/acheter/
WEDPRO Sàrl,1782 Belfaux,https://wedpro.swiss/,https://wedpro.swiss/proprietes/
Wider Immo-Management Sàrl,1732 Arconciel,https://widerimmo.ch/,https://widerimmo.ch/all-listings-page/
Winteam Immobilier Sàrl,1763 Granges-Paccot,https://www.winteam-immobilier.ch/,"https://www.winteam-immobilier.ch/acheter/?listing_type=buy&listing_status=available,reserved"
Chamblioux-Parc 24,1763 Granges-Paccot,,
Yves Guillet Immobilier SA,1630 Bulle,http://www.yvesguillet.ch,https://www.yvesguillet.ch/realty
