key,name,current_url,new_listings_url
acheterLouer,Acheter Louer,https://www.acheter-louer.ch/,
impulseProperties,Impulse Properties,https://www.impulseproperties.ch/,https://www.impulseproperties.ch/acheter
scImmo,SC Immo,https://www.scimmo.ch/,
foncimo,Foncimo,https://foncimo.ch/,
intergerance,Intergerance,https://www.intergerance.ch/,https://www.intergerance.ch/fr/vente/
selectImmo,Select Immo,https://www.selectimmo.ch/,https://www.selectimmo.ch/biens-immobiliers?type=acheter
ceriseImmobilier,Cerise Immobilier,https://www.cerise-immobilier.ch/,https://www.cerise-immobilier.ch/a-vendre
valImmobilier,Val Immobilier,https://valimmobilier.ch/,https://www.valimmobilier.ch/acheter
alturaCollection,Altura Collection,https://alturacollection.ch/,
drapelImmobilier,Drapel Immobilier,https://drapelimmobilier.ch/,https://drapelimmobilier.ch/acheter/
bertrandMorisod,Bertrand Morisod,https://www.bertrand-morisod.ch/,
schenkImmobilier,Schenk Immobilier,https://schenk-immobilier.ch/,https://schenk-immobilier.ch/acheter/
gemImmo,Gem Immo,https://www.gem-immo.ch/,https://www.gem-immo.ch/vente
natimmo,Natimmo,https://www.natimmo.ch/,https://www.natimmo.ch/acheter/
faraoneImmobilier,Faraone Immobilier,https://www.faraone-immobilier.ch/,https://www.faraone-immobilier.ch/à-vendre
gilliandImmobilier,Gilliand Immobilier,https://www.gilliand-immobilier.ch/,https://www.gilliand-immobilier.ch/a-vendre
immobilierBroye,Immobilier Broye,https://www.immobilier-broye.ch/,https://www.immobilier-broye.ch/a-vendre
regieChatelard,Regie Chatelard,https://www.regiechatelard.ch/,
nicolierImmobilier,Nicolier Immobilier,https://nicolier-immobilier.ch/,https://nicolier-immobilier.ch/a-vendre/
regieBroye,Regie Broye,https://regie-broye.ch/,
lcpImmobilier,LCP Immobilier,https://www.lcp-immobilier.ch/,https://www.lcp-immobilier.ch/page-catégories-à-louer/à vendre
symbioseImmobilier,Symbiose Immobilier,https://www.symbiose-immobilier.ch/,https://www.symbiose-immobilier.ch/advance-search/?status=a-vendre
groupeRichard,Groupe Richard,https://www.grouperichard.ch/,https://www.grouperichard.ch/avendre.php
caImmobilier,CA Immobilier,https://www.ca-immobilier.ch/,https://www.ca-immobilier.ch/acheter/
gestival,Gestival,https://gestival.ch/,
