key,name,current_url,new_listings_url
berose,BEROSE SA,https://www.berose-sa.ch/,
barguetonImmobilier,Bargueton immobilier,https://bargueton.ch/,
batilogis,Batilogis SA,https://www.batilogis.ch/,
batimoV,Batimo\'V Sàrl,https://www.batimov.ch/,
bossiImmobilier,Bossi Immobilier,https://bossi-immo.ch/,
brumont,Brumont SA,https://brumont.ch/,
bureauImmobilierRomand,Bureau Immobilier Romand SA,https://www.bir.immo/,
bosigerImmobilier,Bösiger Immobilier,https://www.bosigerimmobilier.ch/,
cbTransimmo,CB Transimmo Sàrl,https://www.cbtransimmo.ch/,
cdfImmobilier,CDF immobilier SA,https://cdf-immobilier.ch/,
ceDi,CE & DI Sàrl,https://ce-di.ch/,
cfImmobilierCompagnieFonciereChateauDOex,CF Immobilier Compagnie Foncière SA - Château-d\'Oex,https://cfimmobilier.ch/,
canobat,Canobat SA,https://canobat.ch/,
casAme,Cas\'Âme Sàrl,https://casame-immobilier.ch/,
cassiopeeImmobilier,Cassiopee Immobilier SA,https://cassiopee.immo/,
cedream,Cedream SA,https://cedream.ch/,
cervero,Cerveró Sàrl,https://cervero.ch/,
chamberonneImmobilier,Chamberonne Immobilier Sàrl,https://chamberonne.ch/,
cofideco,Cofideco SA,https://cofideco.ch/,
coldwellBankerSwissRiviera,Coldwell Banker Swiss Riviera,https://www.transaxia.ch/en/,
confidenceImmobilier,Confidence Immobilier Sàrl,https://confidence-immobilier.ch/,
cooperativeHelvetiqueFonciere,Coopérative Helvétique Foncière,https://www.chf.immo/,
courtacasa,Courtacasa,https://www.courtacasa.ch/,
crazymmo,CrazYmmO Sàrl,https://crazymmo.ch/,
cronosImmo,Cronos Immo,https://www.cronosfinance.ch/en/,
dfImmo,DF Immo,https://df.immo/,
dmcImmobilier,DMC Immobilier,https://dmc-ls.ch/,
domusImmo,Domus Immo Sàrl,https://www.domusimmo.ch/,
dufourImmobilier,Dufour Immobilier,https://www.dufour.immo/,
dunimmo,Dunimmo Sàrl,https://dunimmo.ch/,
durablementImmobilier,Durablement Immobilier SA,https://durablement.immo/,
ecofisc,ECOFISC,https://ecofisc.ch,
estatevalue,EstateValue,https://estatevalue.ch/,
fehlmannImmobilier,Fehlmann Immobilier SA,https://f-immob.ch/,
fidalpAuditConsultancy,Fidalp Audit & Consultancy SA,https://fidalp.ch/,
fiduciairePrismaSolutions,Fiduciaire Prisma Solutions Sàrl,https://www.prismasolutions.ch/,
gerofinanceRegieDuRhoneLocationPrestige,GEROFINANCE - RÉGIE DU RHÔNE | Location PRESTIGE,https://en.gerofinance.ch/,
gestImmo,Gest-Immo,https://gest.immo/,
goumazCie,Goumaz & Cie Sàrl,https://goumaz.swiss/,
groheImmobilier,Grohe Immobilier SA,https://grohedev.ch/,
guedonGerance,Guédon Gérance SA,https://guedon.ch/,
homePlus,Home Plus Sàrl,https://www.homeplus.ch/,
immoLausanne,IMMO-LAUSANNE SA,https://immo-lausanne.ch/,
immo62,IMMO62 Sàrl,https://immo62.ch/,
immobilierRufenacht,IMMOBILIER RUFENACHT SA,https://immobilierrufenacht.ch/,
imosImmobilierEtConseils,IMOS Immobilier et Conseils,https://imos-immobilier.ch/,
ideeDAilleurs,Idée d\'ailleurs,https://idee-dailleurs.ch/,
immoHuguenin,Immo Huguenin,https://www.immo-huguenin.ch/,
immoJuillerat,Immo-Juillerat Sàrl,https://immobilier-juillerat.ch/,
innoteck,InnoTeck Sàrl,https://innotechsarl.ch/,
krLocations,KR Locations,https://krlocations.ch/,
keyRelocation,Key Relocation Sàrl,https://www.key-relocation.ch/,
key4uProperty,Key4U Property,https://www.key4u-property.ch/,
l3mPartners,L3M Partners SA,https://l3m-partners.ch/,
lscourtage,LSCourtage,https://lscourtage.ch/,
lvtic,LVTiC,https://www.lvtic.ch/,
lioImmo,Lio Immo,https://www.lio-immo.ch/en,
logistimmo,Logistimmo SA,https://logistimmo.ch/,
louisePicadus,Louise & Picadus Sàrl,https://louise-picadus.ch/,
mBGeranceImmobiliere,M&B Gérance Immobilière SA,https://www.mbsa.ch/,
mediapixelImmobilier,MEDIAPIXEL IMMOBILIER SA,https://mediapixelimmo.ch/,
mgmFiduciaire,MGM Fiduciaire SA,https://mgm.ch/,
misaImmobilier,MISA Immobilier SA,https://www.misa-gerance.ch/,
mmsHolding,MMS Holding SA,https://militarymegastore.ch/,
mmsPro,MMS Pro SA,https://mmspro.ch/#acheter-logement,
mnmImmobilier,MNM Immobilier Sàrl,https://www.mnm-immobilier.ch/,
martinelliImmobilier,Martinelli – Immobilier,https://martinelli-immobilier.ch/,
metafin,Metafin SA,https://metafin.ch/,
morelImmo,Morel Immo,https://morel-immo.ch/fr,
novaco,NOVACO SA,https://novaco.ch/,
naefCommercialKnightFrankVaud,Naef Commercial | Knight Frank - Vaud,https://www.naef-commercial.ch/en,
nestImmobilier,Nest Immobilier SA,https://ne-st.ch/,
norwood,Norwood SA,https://www.norwood.ch/,
noveoImmobilier,Novéo Immobilier SA,https://noveo-immobilier.ch/,
odeux,ODEUX SA,https://www.odeux.ch/,
ofD,OF-D Sàrl,https://www.of-d.ch/,
ortegaImmobilier,Ortega Immobilier,https://www.ha.immo/,
pointDAncrageImmobilier,Point d\'Ancrage immobilier,https://www.pointdancrage.ch/,
posteImmobilierMS,Poste Immobilier M&S SA,https://immobilien.post.ch/fr,
prestim,Prestim SA,https://prestim.ch/,
proconseilsImmobilier,ProConseils Immobilier Sàrl,https://proconseilssolutions.ch/,
proafcoImmobilier,Proafco immobilier,https://www.proafco.ch/,
procimmo,Procimmo SA,https://www.procimmo.ch/,
